Date,Token0,Token1,FeeTier,TVLUSD,VolumeUSD,FeesUSD,APR
2022-01-18,USDC,ETH,500,252778153.0334445530839759897214789,713891555.1351658324793224905135506,356945.7775675829162396612452567753,=I2*365/G2
2022-01-18,ETH,USDT,500,33329069.70270266531037610290486482,107584203.6909166234814934524389653,53792.10184545831174074672621948272,=I2*365/G2
2022-01-18,ETH,LOOKS,3000,8197052.635172583269805712026405259,91411094.36667073392708939214437383,274233.2831000122017812681764331232,=I2*365/G2
2022-01-18,USDC,ETH,3000,347634056.2023074018594801896561676,87310854.17333554013107460898124654,261932.5625200066203932238269437401,=I2*365/G2
2022-01-18,DAI,ETH,500,28773297.07448116613294278059376437,86458071.92718406893907695830940123,43229.03596359203446953847915470044,=I2*365/G2
2022-01-18,USDC,USDT,100,175507788.587208,79308478.55204922966843458820272272,7930.847855204922966843458820272272,=I2*365/G2
2022-01-18,DAI,ETH,3000,96771354.37654280203593146173507101,40952404.61619025363568413312773013,122857.2138485707609070523993831901,=I2*365/G2
2022-01-18,DAI,USDC,100,52790544.90148787653641205600000001,33786511.17345925146915723256359161,3378.651117345925146915723256359161,=I2*365/G2
2022-01-18,WBTC,ETH,500,66321700.73764668690566193212023405,33502991.4774404159991196409234281,16751.49573872020799955982046171401,=I2*365/G2
2022-01-18,USDC,UST,100,3725131.657802399218077099893868602,31313443.695236,3131.3443695236,=I2*365/G2
2022-01-18,ETH,BTRFLY,10000,7521532.691147759046421952398874706,28136480.09876982480625732648010423,281364.8009876982480625732648010423,=I2*365/G2
2022-01-18,ETH,USDT,3000,139323311.8543904243834919530476346,26422994.61271310588438841921314888,79268.98383813931765316525763944653,=I2*365/G2
2022-01-18,WBTC,ETH,3000,330302342.9856710878242448812282985,18953054.55958210775038092830169546,56859.16367874632325114278490508636,=I2*365/G2
2022-01-18,WBTC,USDC,3000,100687131.1877773903488627155927233,16151742.65474922684247513056869971,48455.2279642476805274253917060991,=I2*365/G2
2022-01-18,FRAX,USDC,500,241972671.5488661846618172469671651,15849737.031147,7924.8685155735,=I2*365/G2
2022-01-18,FEI,USDC,500,32700926.62218228401065766200000001,15406988.37834320702555984324451691,7703.494189171603512779921622258458,=I2*365/G2
2022-01-18,METIS,ETH,3000,12931163.42610386293305739830309766,13274015.71252994793645666600644206,39822.04713758984380936999801932636,=I2*365/G2
2022-01-18,MIM,USDC,500,7222886.213862650701225715440167309,11429652.727536,5714.826363768,=I2*365/G2
2022-01-18,ETH,LOOKS,10000,13415992.24808920956485620237797105,9993468.024643044952725627530067671,99934.68024643044952725627530067671,=I2*365/G2
2022-01-18,STRONG,ETH,3000,5299056.11509038744191072191939693,8620689.93844430116109014862836489,25862.06981533290348327044588509463,=I2*365/G2
2022-01-18,FTM,ETH,10000,36451682.54336121031919786015633751,8061983.539389977981660501931920586,80619.83539389977981660501931920586,=I2*365/G2
2022-01-18,USDC,UST,500,7912668.930255614830532977482988465,7818202.861219,3909.1014306095,=I2*365/G2
2022-01-18,MATIC,ETH,3000,40363584.71976907380875605192113297,6925931.616585342750693577829374504,20777.79484975602825208073348812352,=I2*365/G2
2022-01-18,UST,USDT,500,3541968.578780343210703474767828288,6642548.026443878591865097040092648,3321.274013221939295932548520046324,=I2*365/G2
2022-01-18,EURT,USDT,500,7701326.7145891894357499905102513,6523026.127608,3261.513063804,=I2*365/G2
2022-01-18,ETH2X-FLI,ETH,3000,27870031.30559151899261810486945438,6467563.087119441260540051159831473,19402.68926135832378162015347949442,=I2*365/G2
2022-01-18,USDC,USDT,500,15781807.089293,6467524.602286452427942952032609084,3233.762301143226213971476016304542,=I2*365/G2
2022-01-18,YFI,ETH,3000,10603544.55652815083328863804316593,6148633.753047460493775073920836004,18445.90125914238148132522176250798,=I2*365/G2
2022-01-18,CVX,USDT,10000,32385660.83643808073134461968180099,5755433.99578302500816056859038943,57554.3399578302500816056859038943,=I2*365/G2
2022-01-18,SPELL,ETH,3000,7268244.171537446381865235994519649,5577942.758494323714705614060612141,16733.82827548297114411684218183643,=I2*365/G2
2022-01-18,DAI,FEI,500,16958464.22717090234139014300000001,5421045.417166464547796246373465777,2710.522708583232273898123186732889,=I2*365/G2
2022-01-18,UNI,ETH,3000,35404512.67917442971234587068478501,5351880.145782185244685810123804,16055.640437346555734057430371412,=I2*365/G2
2022-01-18,ETH,LOOKS,500,219986.8223820262821476185425676285,5050050.735288071452149461006471702,2525.025367644035726074730503235853,=I2*365/G2
2022-01-18,DAI,FRAX,500,65921263.67907331411778236833273661,4838963.631098533397851616745488154,2419.481815549266698925808372744078,=I2*365/G2
2022-01-18,ETH,CRV,10000,15514999.51255302385527111035737925,4725724.521565541079682367440211904,47257.24521565541079682367440211904,=I2*365/G2
2022-01-18,FRAX,USDT,500,8686238.768524303902330656214586324,4468364.339124471432473012489147902,2234.182169562235716236506244573951,=I2*365/G2
2022-01-18,GOHM,ETH,10000,2830324.302591289526335624937331678,4372057.277606015692403263274820994,43720.57277606015692403263274820994,=I2*365/G2
2022-01-18,WOOL,ETH,10000,3615945.685043764752904523439116567,4146123.158994083530978766340686546,41461.23158994083530978766340686546,=I2*365/G2
2022-01-18,LINK,ETH,3000,20449639.06702312331340605381997091,3799790.409926071829576671989232247,11399.37122977821548873001596769676,=I2*365/G2
2022-01-18,LUSD,DAI,500,1818059.525598486480295978716777091,3502125.617447211778518495658360925,1751.062808723605889259247829180463,=I2*365/G2
2022-01-18,ETH,ENS,3000,8603508.844173385400956053317798997,3390159.233978712261273191136835494,10170.47770193613678381957341050647,=I2*365/G2
2022-01-18,ETH,WRLD,10000,2668958.702893995921970511890192203,3130979.704279446830003986871528739,31309.79704279446830003986871528739,=I2*365/G2
2022-01-18,XFT,ETH,3000,4501473.209589356315606162131145042,3119743.980374249516017987852445152,9359.231941122748548053963557335453,=I2*365/G2
2022-01-18,CVX,USDT,3000,3988121.039172831649718470577788247,3008892.980596483077557251158564619,9026.678941789449232671753475693857,=I2*365/G2
2022-01-18,GALA,ETH,3000,7950085.853149766513586780551675654,2975136.44181557618067134914558137,8925.409325446728542014047436744123,=I2*365/G2
2022-01-18,LUSD,USDC,500,2090584.267674458908982289361477681,2878145.574223,1439.0727871115,=I2*365/G2
2022-01-18,MIM,USDT,500,913602.5822341882188762680082928494,2759764.993433956546869789458155007,1379.882496716978273434894729077503,=I2*365/G2
2022-01-18,XAUT,USDT,500,7140362.558938883396811121985475472,2613489.768861878638096877024711482,1306.744884430939319048438512355741,=I2*365/G2
2022-01-18,ETH,EURT,3000,7451040.928943300496048123105493901,2560539.805707129476319789725450469,7681.619417121388428959369176351401,=I2*365/G2
2022-01-18,HEX,ETH,3000,4565562.231177053690725955558652977,2342163.647009843043108135675552718,7026.490941029529129324407026658154,=I2*365/G2
2022-01-18,HEX,USDC,3000,32368354.04024281863580304505829901,2302280.147203,6906.840441609,=I2*365/G2
2022-01-18,USDC,SNX,10000,5060584.352286107265038521546913469,2201025.027253074583770434734355431,22010.25027253074583770434734355431,=I2*365/G2
2022-01-18,YFI,ETH,10000,11771524.97174371273922578458479255,2131502.683404269801370726649544354,21315.02683404269801370726649544354,=I2*365/G2
2022-01-18,AAVE,ETH,3000,8319547.175553224560935363101279223,2062029.008249680319104952037187645,6186.087024749040957314856111562934,=I2*365/G2
2022-01-18,OHM,ETH,10000,625364.7825424139092905113483339027,1959218.922095403166794338007060929,19592.18922095403166794338007060929,=I2*365/G2
2022-01-18,AGEUR,USDC,500,35059684.30491488518377800154682505,1933483.650978,966.741825489,=I2*365/G2
2022-01-18,DAI,USDT,500,14715869.632509425473035753,1806498.292819405372815745612205076,903.249146409702686407872806102538,=I2*365/G2
2022-01-18,NEXO,ETH,3000,7910471.324262809491448101633993615,1773092.645517971298839618498810449,5319.277936553913896518855496431352,=I2*365/G2
2022-01-18,WBTC,BADGER,3000,11982980.01263177257188770924644261,1702465.901587186809044767341106784,5107.397704761560427134302023320348,=I2*365/G2
2022-01-18,FXS,ETH,10000,5157783.190446961599326503300930026,1701664.20401119764533945052818463,17016.6420401119764533945052818463,=I2*365/G2
2022-01-18,TOWN,ETH,10000,2088483.984060026960251322287679707,1642296.935597742594283080422977757,16422.96935597742594283080422977757,=I2*365/G2
2022-01-18,USDC,EURS,500,13092749.18915907199983913013142388,1545518.719806,772.759359903,=I2*365/G2
2022-01-18,PERP,ETH,3000,11357390.261550243046077062733407,1530930.91368235282444000761848582,4592.792741047058473320022855457461,=I2*365/G2
2022-01-18,ETH,SETH2,3000,82755373.73405729853556927651255965,1502168.929149999617706756719370712,4506.506787449998853120270158112133,=I2*365/G2
2022-01-18,LQTY,ETH,3000,1611184.565400647607320082714336821,1498641.825848323369787568769963518,4495.925477544970109362706309890549,=I2*365/G2
2022-01-18,ETH,AETH,3000,2281546.208257478909360151972635549,1497116.264360333985024290346422408,4491.348793081001955072871039267225,=I2*365/G2
2022-01-18,ASH,ETH,10000,2836207.029930546180066775374050127,1468130.13781559354598956477108583,14681.3013781559354598956477108583,=I2*365/G2
2022-01-18,COMP,ETH,3000,18358980.30471700342606294490363747,1439952.469899184964628643665352885,4319.857409697554893885930996058652,=I2*365/G2
2022-01-18,DAI,USDC,500,88745535.20303023750106280899999999,1397098.365147892313888941591212617,698.5491825739461569444707956063086,=I2*365/G2
2022-01-18,USDC,NCR,500,2564655.847154854885718393235673225,1380724.781518,690.362390759,=I2*365/G2
2022-01-18,QNT,ETH,3000,4100722.15570070239589007783058354,1362755.335716299984726154028479807,4088.26600714889995417846208543942,=I2*365/G2
2022-01-18,VADER,ETH,10000,955293.8391399534561092209486346439,1315895.349185311058803021123232924,13158.95349185311058803021123232924,=I2*365/G2
2022-01-18,RAI,DAI,500,22521185.4945059124496220628456216,1222607.161981971711695940044302856,611.3035809909858558479700221514282,=I2*365/G2
2022-01-18,RBN,ETH,10000,16306529.02863290534580752034909394,1202060.652347510085849310207063813,12020.60652347510085849310207063813,=I2*365/G2
2022-01-18,USDC,UOS,10000,6928428.171656233892559990050800068,1150707.732764,11507.07732764,=I2*365/G2
2022-01-18,ETH,OSQTH,3000,5936204.760114599828903076087255102,1136542.831599081452060321285399698,3409.628494797244356180963856199097,=I2*365/G2
2022-01-18,BYTES,ETH,10000,3818736.280359166816744678365746307,1130301.851737619648442084295800006,11303.01851737619648442084295800006,=I2*365/G2
2022-01-18,PAX,ETH,3000,23841643.87967256181242329994580453,1111629.86311830152722986094893841,3334.889589354904581689582846815233,=I2*365/G2
2022-01-18,ETH,LIT,10000,10013387.02912271284609009569890952,1006307.17472573773169846108780877,10063.0717472573773169846108780877,=I2*365/G2
2022-01-18,MOONEY,ETH,10000,58349.42412049344226863760066462328,1005814.448906321915628140079518892,10058.14448906321915628140079518892,=I2*365/G2
2022-01-18,ETH,RPL,3000,5696509.771005790621812733752832168,965346.2800815033079281540840610432,2896.038840244509923784462252183129,=I2*365/G2
2022-01-18,WBTC,USDT,3000,12120483.43290276538427524540190648,960065.6952870199753826330384155409,2880.197085861059926147899115246621,=I2*365/G2
2022-01-18,UNI,AAVE,3000,1651429.607854140218165101969911692,934199.2338369736798858399242318064,2802.597701510921039657519772695419,=I2*365/G2
2022-01-18,KROM,ETH,3000,2865495.754076073234198810632406063,933263.5405535774695553152786744753,2799.790621660732408665945836023426,=I2*365/G2
2022-01-18,ETH,WTON,3000,4042817.376473853412773503611906021,870751.4515996446639224730080832906,2612.254354798933991767419024249872,=I2*365/G2
2022-01-18,ETH,RAIL,10000,5694503.578720880969734910473682967,831542.0367296679796766219102724558,8315.420367296679796766219102724558,=I2*365/G2
2022-01-18,BETA,ETH,10000,2030786.781980613310037149150076431,821245.1417462696118856542008350996,8212.451417462696118856542008350996,=I2*365/G2
2022-01-18,DOLA,USDC,3000,533478.1889205711332449594975347791,809593.748492,2428.781245476,=I2*365/G2
2022-01-18,SHIB,ETH,3000,7321465.167530665220034068552727135,800204.167770836912054674020051308,2400.612503312510736164022060153918,=I2*365/G2
2022-01-18,RNDR,ETH,10000,1880803.873029822666306952559508013,787029.0520659468012067514883060829,7870.290520659468012067514883060829,=I2*365/G2
2022-01-18,WBTC,PAX,3000,39882966.76965644257494027976864733,764074.8544165063834400637081482893,2292.224563249519150320191124444868,=I2*365/G2
2022-01-18,USDT,SAITO,3000,1604165.497305926176245604941587981,760793.5543319155235072942897828722,2282.380662995746570521882869348617,=I2*365/G2
2022-01-18,OUSD,USDT,500,1988318.165732171153157815700166065,749912.158844,374.956079422,=I2*365/G2
2022-01-18,AGEUR,ETH,3000,17165882.61055901757233050002361577,744141.269891168407992500163531832,2232.423809673505223977500490595494,=I2*365/G2
2022-01-18,DYDX,ETH,3000,4090616.72175430265127254722013033,730802.2054619161624323823152330079,2192.406616385748487297146945699025,=I2*365/G2
